,id,name,description,languages,publisher
2,5rlksOLniypAgBEkebMkoo,"Rich Dad Radio Show: In-Your-Face Advice on Investing, Personal Finance, & Starting a Business","Beat conventional advice on personal finance, investing, and business with the author of Rich Dad Poor Dad, Robert Kiyosaki. Get ahead with his pull-no-punches style of challenging the advice we’ve all been given on money, investing, and the economy. Frustrated and frightened by the financial advice being given by the mainstream talking heads, Robert Kiyosaki sits down with professionals from the world of money, investing, business, and personal development. Listeners will be provided various viewpoints on how to set themselves up for financial success. If you’re looking for get-rich-quick tips and tricks to investing, move on. Listeners dedicated to the craft of finance and a better life, subscribe! New podcasts released weekly!",['en'],The Rich Dad Radio Network
3,54VydTdMDHkfqPqzlwRJFa,Listen Money Matters - Free your inner financial badass. All the stuff you should know about personal finance.,"Honest and uncensored - this is not your father’s boring finance show. This show brings much needed ACTIONABLE advice to a people who hate being lectured about personal finance from the out-of-touch one percent. Andrew and Matt are relatable, funny, and brash. Their down-to-earth discussions about money are entertaining whether you’re a financial whiz or just starting out. To be a part of the show and get your financial questions answered, send an email to listenmoneymatters@gmail.com.",['en'],ListenMoneyMatters.com | Andrew Fiebert and Matt Giovanisci
5,6o8lC0CcRlIclZsbkEOaRL,Optimal Finance Daily,Why bother searching for the best blogs about personal finance when it can be found and read for you? Think of Optimal Finance Daily as an audioblog or blogcast. Support this podcast: https://anchor.fm/optimal-finance-daily/support,['en'],Dan | Optimal Living Daily
7,3oW8SnmePemy5pOsTTvQjY,Self Help for Life Podcast: Self-Improvement | Mindset | Emotions | Personal Development | Health | Business Success | Finances | Spirituality,"Paul Thomas from the Self Help for Life blog shares the best ideas, concepts, strategies and techniques to help you master your mindset, emotions, health, business, finances and spirituality.  This podcast contains Paul's top strategies and principles that he covers in depth on his blog and popular YouTube channel.  Paul is a successful clinical hypnotherapist in Sydney Australia who loves to share what works for his clients and himself with the whole world! To check out his blog, go to https://www.selfhelpforlife.com",['en-GB'],"Paul Thomas : Clinical Hypnotherapist, Life and Business Coach"
8,49an3JD6uAaqEw5qQS8tie,My Personal Finances PodCat,PodCat is a weekly financial podcast helping you simplify and grow your personal finances. The show is hosted by Catherine Tan interviewing guests every week on personal finance and investing related topics.,['en'],My Personal Finances
12,08IF2pM2RjjZ6jxafHnmPp,Radical Personal Finance,"Joshua J Sheats, MSFS, CFP®, CLU®, ChFC®, CASL®, CAP®, RHU®, REBC® is a financial planner and the world’s leading authority on integrating lifestyle goals and money goals without conflict. He teaches normal people how to seamlessly connect the science of financial planning with the joy of goal achievement. Joshua is dedicated to helping normal people achieve financial freedom in 10 years or less by merging the creative (and crazy) ideas from the world of personal finance with the academic integrity of formal financial planning. He simplifies the complex topics of money and makes the boring financial mumbo-jumbo less boring. Discover how you can lower your tax bill, cut your expenses without sacrificing your lifestyle, and significantly increase your time and freedom to live the life you love through a greater knowledge and understanding of all aspects of personal finance and money management.",['en-US'],Joshua Sheats
13,5hwcwChU0bWy1EFBNul7ld,Why Didn't They Teach Me This In School - Money management/Personal Finance,"This podcast focuses on learning how to effectively manage your money. Importantly, it is done simply with real-life memorable examples rather than numbers and theory. It is built off of Cary Siegel's best selling book ""Why didn't they teach me this in school? 99 personal money management principles to live by"". The goal is to motivate you to learn how to effectively manage your financial life. This is not an investment podcast.",['en'],Cary Siegel
17,3iwRYmT3VIYrGC9NdRv2ya,The Meaningful Money Personal Finance Podcast,"Pete Matthew discusses and explains all aspects of your personal finances in simple, everyday language. Personal finance, investing, insurance, pensions and getting financial advice can all seem daunting, but with the right knowledge and easy-to-follow action steps, Pete will help you to get your money matters in order.  Each show is in two segments: Firstly, everything you need to KNOW, and secondly, everything you need to DO to move forward on the subject of that episode.  This podcast will appeal to listeners of MoneyBox Live, Wake Up To Money, Listen to Lucy, Which? Money and The Property Podcast.  To leave feedback or ask a question, go to http://meaningfulmoney.tv/askpete  Archived episodes can be found at http://meaningfulmoney.tv/mmpodcast",['en'],Pete Matthew
21,1OUBkO5jLr3xNL2CSQffKM,The Scope of Practice Podcast for Business and Personal Finances for Physicians and Dentists,"Dr. Brent W. Lacey, M.D. teaches healthcare professionals how to manage their businesses successfully and master their personal finances.  Most physicians and dentists enter their profession with large amounts of personal debt, and beyond that - they begin working with no knowledge of how to actually run a clinical practice. You should be able to help your patients and do what you love without being stressed by all the other obligations that come with managing your medical practice. Dr. Lacey interviews physicians and other industry experts on topics such as physician burnout, financial independence, business management, leadership, personal growth, marriage, parenting, side hustles, marketing and branding, and medical education.  You shouldn’t have to feel overwhelmed by the pressures of running your practice or by your own personal finances. Restore the joy you receive from helping your patients, knowing you have the knowledge and skills to handle all the other responsibilities that come with that.  Hit “subscribe” and get ready to change your life.  ",['en-US'],Brent Lacey : physician : personal finance : business management
22,4i7qGU4QdWzUAW7r1eikTr,Dev Raga - Personal Finance Podcasts,"Dev Raga is a Melbourne (Australia) based podcaster who discusses common financial topics. This ranges from saving, investing, debt reduction, personal insurance and many more topics. He also gets really geeky about finance sometimes!  We are on Facebook: @DevRagaPersonalFinance We are also on:  1. DevRaga.com (or Castbox.fm app - preferred) 2. Spotify 3. Breaker Audio 4. Castro 5. RadioPublic 6. Player.fm 7. Podcast Addict 8. MixCloud 9. Anchor",['en'],Dev Raga
25,3it2z8lRV0aFAZn91w5ji8,Stewardship Time Management Personal Finance Health and Relationships From The10Talents.com With Roosevelt Cooper,"In The10talents.com podcast, we discuss principles of good stewardship over all areas of our life. Time Management, maximizing talents, skills and abilities, personal finance management, health and wellness and relationships are the five areas where we exercise stewardship over. A steward was a servant who was entrusted with taking care of the property and belongings of a master. Roosevelt Cooper is an author, speaker, entrepreneur and minister who has been a student of personal development and biblical studies for over 20 years. In this podcast, he shares what he has learned and continued to learn in these areas. Each of us have been entrusted with time, skills, finances, health and relationships. As such, we can either be good stewards over these resources or we can be bad stewards over these resources. The goal of this podcast is to help you to maximize these areas in your life.",['en-US'],Stewardship Time Management Personal Finance Health and Relationships From The10Talents.com With Roosevelt Cooper
26,0onjxuheqNMfUHem407NcQ,"DIY Money | Personal Finance, Budgeting, Debt, Savings, Investing","Budgeting, Savings, Investing, Wealth Management for those that choose to Do It Yourself",['en'],"Quint Tatro & Daniel Czulno, CFP® a passionate look at everything from budgeting, savings, investing, stocks, bonds, debt. Dave Ramsey, Jill On Money, Smart Money, Motley Fool"
27,0KMmdHHBIfM809waVmIH9A,Maven Money Personal Finance Podcast,"Your unconventional personal finance show. Sharing wealth creation and creative financial planning strategies. Simplifying the complex into the actionable. The host Andy Hart discusses a diverse range of personal finance topics from investments, insurance and money biases. Ensuring you behave your way to wealth and don't misbehave your way to poverty. The UK's premier personal finance show.",['en'],Andy Hart
