,show_id,episode_id,length(ms),date,episode_name,description
0,4TtEXq4N2Wg3AaYsxRDfYY,2S8C2fx35XbsidmBwoy1cF,777874,2020-07-14,Finding Success With Sustainable Skin Care With Kate Attwood,"Kate Attwood is a business owner and independent consultant for Arbonne. She sells ethical and sustainable skin care and cosmetics to women to help them feel like the best versions of themselves while taking care of the environment. Kate is wonderfully authentic. She shares her incredible story about how she came to be a business owner and live a life she loves. Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash Your Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes eco-friendly small businesses can make a bigger impact when they come together to tell their stories. Click Here to Follow Mary on Instagram!Want to be featured? Join the UnLeash Your Fire Podcast Tribe on Facebook & Tell Us Your Story. "
1,4TtEXq4N2Wg3AaYsxRDfYY,4RjBKyKnWCSx6TOSnN06Q7,804702,2020-07-07,Running A Sustainable Smog Business With Angie Hernandez,"Angie Hernandez is the owner and operator at SoCo Smog Test in Costa Mesa, California. She inspects vehicles that may emit noxious fumes to our precious environment and prevents them from driving on our roads. She made it her mission to turn it green and make it clean. Her business is even certified by the Green Business Bureau. Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash Your Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes eco-friendly small businesses can make a bigger impact when they come together to tell their stories. Click Here to Follow Mary on Instagram!Want to be featured? Join the UnLeash Your Fire Podcast Tribe on Facebook & Tell Us Your Story. "
2,4TtEXq4N2Wg3AaYsxRDfYY,26YqSFjKevWFRyi7ervMB4,1147298,2020-06-30,How To Turn Your Business Into A Movement With Alexandria Agresta,"Alexandria Agresta is the Chief Purpose Pioneer behind Purpose Pioneers, an empowerment speaker, and speaking coach. In this episode, she tells us how she got started helping people turn their businesses into movements and how you can share your own message. Alexandria explains how you can shift your perspective and become a thought leader so you can experience meaning and fulfillment in your life.Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash Your Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes eco-friendly small businesses can make a bigger impact when they come together to tell their stories. Click Here to Follow Mary on Instagram!Want to be featured? Join the UnLeash Your Fire Podcast Tribe on Facebook & Tell Us Your Story. "
3,4TtEXq4N2Wg3AaYsxRDfYY,22Vzsu4pkTTGCeM0CAxIlU,1791660,2020-06-23,Creating Eco-Conscious Jewelry With Kristen Romans,"009  In this episode, we chat with Kristen Romans, the eco-friendly jewelry designer behind Kristen Mara. She shares how she found the sustainable resources to start and grow her company and create the perfect eco-friendly jewelry designs. She tells us all about how she got her start in the jewelry business, how to find the perfect hire to help you achieve your goals, the importance of business mentors, and how to make your eco-friendly business dreams happen.Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash Your Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes eco-friendly small businesses can make a bigger impact when they come together to tell their stories. Click Here to Follow Mary on Instagram!Want to be featured? Join the UnLeash Your Fire Podcast Tribe on Facebook & Tell Us Your Story. "
4,4TtEXq4N2Wg3AaYsxRDfYY,5Xs94yWHgmHgD6CrySUU05,710034,2020-06-16,Eco-Friendly & Dog Approved Subscription Boxes For Pets With Leanne Pinard Baum,"008 In this episode, we chat with Leanne, the founder of Pure Earth Pets Inc, a subscription box service that offers sustainable toys and treats for dogs. Her passion for helping the planet evolved when she recognized that there were no accessible sustainable toys for her dog Dover, and made it her mission to find them, and bring them to the doors of dog owners. Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash Your Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes eco-friendly small businesses can make a bigger impact when they come together to tell their stories. Click Here to Follow Mary on Instagram!Want to be featured? Join the UnLeash Your Fire Podcast Tribe on Facebook & Tell Us Your Story. "
5,4TtEXq4N2Wg3AaYsxRDfYY,3cQ5WelOQIvewBbrIJBslU,1790798,2020-06-09,How To Get What You Want With M Founder Of The Sustainable Life App Part 1,"006 In this episode, we chat with M, the founder of the Sustainable Life App. She tells us how she started her business connecting consumers across the globe with sustainable businesses and how to be persistent and get what you want. Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash Your Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes eco-friendly small businesses can make a bigger impact when they come together to tell their stories. Click Here to Follow Mary on Instagram!Want to be featured? Join the UnLeash Your Fire Podcast Tribe on Facebook & Tell Us Your Story. "
6,4TtEXq4N2Wg3AaYsxRDfYY,0f5h3AsYK0pIxWyQmYB8HT,2541270,2020-06-09,How To Get What You Want With M Founder Of The Sustainable Life App Part 2,"007 In this episode, we chat with M, the founder of the Sustainable Life App. She tells us how she started her business connecting consumers across the globe with sustainable businesses and how to be persistent and get what you want. Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash Your Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes eco-friendly small businesses can make a bigger impact when they come together to tell their stories. Click Here to Follow Mary on Instagram!Want to be featured? Join the UnLeash Your Fire Podcast Tribe on Facebook & Tell Us Your Story. "
7,4TtEXq4N2Wg3AaYsxRDfYY,2bbVPC3PbCScvQ5bDlv1Rm,2112026,2020-06-02,Clean In A Snap: Fun Talk With Trista Polo,"005: Trista Polo is a Business Coach, Online Entrepreneur, and Podcast host. She is a lot of fun to talk to. She has a company called shopallthat.com that sells an ecofriendly cleaning product called SNAP. EPA approved for Covid-19, HIV, SARS, MRSA, and a lot more.  She has a podcast about the story behind vanity plates. Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash You Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes eco-friendly small businesses can make a bigger impact when they come together to tell their stories. Click Here to Follow Mary on Instagram!Want to be featured? Join the UnLeash You Fire Podcast Tribe on Facebook & Tell Us Your Story. "
8,4TtEXq4N2Wg3AaYsxRDfYY,7CkHfqB3wcfvF2WJ74y7Jy,2594769,2020-06-02,Branding Expert Monica Kline Helps Women Entrepreneurs Build Their Legacies,"004: Branding Expert Monica Kline Helps Women Entrepreneurs Build Their Legacies. Monica has over 25-years of REAL LIFE, HANDS-ON EXPERIENCE in Branding, Marketing, Sales, and Public Relations. She is an expert in her field & she specializes in helping Women Entrepreneurs Build Their Legacies, She has worked for Fortune 500 companies such as Toshiba and Canon. She is knowledgable, well-connected and she knows what she’s doing. She is here to share with us her journey and leave us valuable advice...Tap in & listen onClick Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash You Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes small businesses can have a bigger impact when they come together to tell their stories. Want to be featured? Join the UnLeash You Fire Podcast Tribe on Facebook & Tell Us Your Story. "
9,4TtEXq4N2Wg3AaYsxRDfYY,5hvlgWo09h6tx7vitAj1Ae,1765538,2020-06-02,SEEDS App: Money For A Regenerative Society With Cece Heart,"003: Have you ever thought of the way you spend money and how it affects our environment? Can you imagine an eco-friendly digital currency and financial system that can serve, reward, and finance the people and organizations committed to the planet? WE are talking about Money for a regenerative society In this episode, Cece Heart will tell us all about the movement, the SEEDS app, and how to start a movement like this one. Click Here For The Podcast Episode Show Notes Why UnLeash Your Fire?Be it passion, global warming, or hidden potential. Have you ever had the urge to do something amazing to make a difference in the world? The UnLeash Your Fire podcast was launched to help women eco-entrepreneurs make a bigger impact. You have the voice & the story the world needs to hear!A brand new episode comes out every Tuesday.Love the podcast?Subscribe on Google Play,  iTunes and Apple’s Podcasts app, Stitcher or SpotifyLeave an honest rating and review! (We read through every single one of them!)Click Here To Join the UnLeash You Fire Podcast Tribe on FacebookWho is Mary Phan?Mary Phan is the host of the UnLeash Your Fire Podcast. She is an eco-entrepreneur.  She understands how hard it is to start an eco-friendly business alone.  Anyone can open a business but to make it eco-friendly means you care for the environment. She believes small businesses can have a bigger impact when they come together to tell their stories. Want to be featured? Join the UnLeash You Fire Podcast Tribe on Facebook & Tell Us Your Story. "
